Languages;Languages
Username;Username
Password;Password
Login to your account;Accéder à votre profil
Forget your Password;Un oubli de mot passe
Contact Us;Nous contacter
Forget your Password;Oubli de mot de passe
Home;Tableau de bord
Website;Internet
Please enter your email address;Veuillez saisir votre adresse e-mail
Please enter a VALID email address;Veuillez saisir une adresse e-mail valide
Please enter your password;Veuillez saisir votre mot de passe
Login Now;S'identifier
Please enter your email address and your password for your authentication;Veuillez saisir votre Code Déposant et votre mot de passe pour accéder à votre profil
You could not be authenticated with these credentials;Votre profil n'est pas reconnu pour ce Code Déposant et ce mot de passe
You could not be authenticated with these credentials. Please contact our customer service;Votre profil semble invalide, veuillez vérifier votre Code Déposant qui se trouve sur votre contrat dépôt.
My dashboard;Mon tableau de bord
My address book;Mon carnet d'adresse
My preferences;Mes préférences
New shipping;Nouvelle demande
City;Ville
E-mail;E-mail
Next;Suivant
Cancel;Annuler
Please select the language for this address;Veuillez sélectionner la langue pour cette adresse
No result found for your search;Aucun résultat trouvé pour votre recherche
Previous;Précédent
Address;Adresse
Content;Contenu
Logout;Déconnexion
Insurance needed;Souhaitez-vous une assurance
No;Non
Yes;Oui
Save;Enregistrer
Print;Imprimer
Shipping search;Recherche d'expédition
An error occured while saving your record;Une erreur est survenue lors de la sauvegarde de vos données
Your preferences have been saved;Vos préférences ont été sauvegardées
Validate your request;Valider votre demande
Validate;Validation
Update;Mettre à jour
Welcome to Occazetneuf;Bienvenue sur la plateforme OccazEtNeuf
An error occured while creating your request. Please try again later;Une erreur est survenue lors de la création de votre demande. Veuillez essayer ultérieurement
No data available for your query;Aucune donnée disponible pour cette demande
Close;Fermer
Time;Heure
Date;Date
An error was detected;Une erreur a été détectée
Saving your request. Please wait...;Enregistrement en cours. Veuillez patienter...
Notify;Notifier
Selected address;Adresse sélectionnée
Your comments, suggestions and questions are important to us;Vos commentaires, suggestions et vos questions nous sont très précieux
Please provide your contact information and your comments;Veuillez remplir le formulaire ci-après en indiquant vos coordonnées et vos commentaires
Your phone number;Votre n° de téléphone
Your e-mail;Votre adresse e-mail
Your name;Votre nom
Please type your message;Saisissez votre message
Provide the phone number where you can be contacted at;Insérez le numéro de téléphone où nous pourrons vous joindre
Provide the e-mail address where you can be contacted at;Veuillez fournir votre adresse e-mail
Provide your full name;Veuillez fournir votre nom complet
Sending message. Please wait...;Envoi de votre message en cours. Veuillez patienter...
Your message could not be sent. Please try again;
Your message has been sent. Thank you. You will be contacted at the earliest;
Delete;Supprimer
Send;Envoyer
Please enter your email address in order to reset your password;Veuillez indiquer votre code déposant afin de réinitialiser votre mot de passe
Forgot Password;Mot de passe oublié ou 1ère connexion
Your email could not be found in our system. Please check your entry;Votre adresse e-mail n'a pu être trouvée dans notre système. Veuillez vérifier votre saisie
An e-mail has been sent to your e-mail address with a new password. Please use the new credentials received via email;Un e-mail a été envoyé avec un nouveau mot de passe. Veuillez utiliser le nouveau mot de passe reçu
Your password has been changed. An e-mail has been sent to your e-mail address with your new password. From now on,Please use the new credentials received from email;Votre mot de passe a été modifié. Un e-mail a été envoyé avec votre nouveau mot de passe. Veuillez désormais utiliser le nouveau mot de passe reçu
We were unable to send you an email with your new password. Please try again later;L'email n'a pu vous être envoyé. Veuillez essayer ultérieurement.
Current password;Mot de passe actuel
Change your password;Modifier votre mot de passe
My password;Mon mot de passe
New password;Nouveau mot de passe
Confirm new password;Confirmer le nouveau mot de passe
Please confirm your new password;Veuillez confirmer votre nouveau mot de passe
Please enter your new password;Veuillez saisir votre nouveau mot de passe
Please enter your current password;Veuillez saisir votre mot de passe actuel
Please enter your current password, a new password and the password confirmation;Veuillez saisir votre mot de passe actuel, un nouveau mot de passe, puis confirmer le mot de passe 
The new password and the confirmation do not match;Le nouveau mot de passe et la confirmation ne correspondent pas
An error occured while updating your password. Please try again later;Une erreur est survenue lors de la modification de votre mot de passe. Veuillez essayer ultérieurement
Your password has been changed;Votre mot de passe a été modifié
The current password provided is incorrect;Le mot de passe actuel fourni est incorrect
Contract number;N° Contrat
Store;Magasin
Description;Description
Sales date;Date vente
Scheduled payment date;Date règlement
Amount;Montant total
Pending payment;Règlements en attente
Product in stock;Produits en stock
Reference;Référence
Initial price;Prix initial
Current price;Prix actuel
Qty;Qté
Ref. Article;Réf. Article
Contact ID;Code déposant
Checking your credentials. Please wait...;Nous vérifions vos identifiants. Veuillez patienter... 
Checking your e-mail. Please wait...;Nous vérifions votre identifiant. Veuillez patienter...
Your store;Votre magasin
You have been registered successfully, check your email to see your credentials.;Votre compte a été créé avec succès, veuillez vérifier votre mail pour voir vos coordonnées.
Fill all fields please.:Veuillez renseigner tous les champs.

Dashboard;Dashboard
Companies;Companies
New Companies;New Companies
Companies List;Companies List
Missions;Missions
New Mission;New Mission
Missions List;Missions List
All Missions;All Missions
Contacts;Contacts
New Contact;New Contact
Contact List;Contact List
Prospectors;Prospectors
New Prospector;New Prospector
Prospectors List;Prospectors List
Mailer;Mailer

See More;See More
Customers;Customers
Customer;Customer

Sign in to start your session;Sign in to start your session
Email;Email
Password;Sign in to start your session
Log in;Log in

I forgot my password;I forgot my password

Get back to login page;Get back to login page;
Submit;Submit
Enter your email to reset your password;Enter your email to reset your password
Submitting...;Submitting...

Reset Password;Reset Password
Recent Addition;Recent Addition
Contacts;Contacts
Full Name;Full Name
Added by;Added by
Added on;Added on

Your comment ...;Your comment  ...
Edit;Edit
Action;Action
Type;Type
Field of activity;Field of activity
Company name;Company name
Add Comment;Add Comment
Import a CSV file;Import a CSV file
Add a company;Add a company
Code NAF;Code NAF
Public;Public
Private;Private
Choose a type;Choose a type
Company type;Company type
Company city;Company city
Company zipcode;Company zipcode

Edit Company;Edit Company

Is manager;Is manager
Is active;Is active
Non-interested;Non-interested
Interested;Interested
Select a type for the company;Select a type for the company
Company type;Company typee
Company;Company
Title;Title
Phone number;TéléPhone numberphone
Last name;Last name
First name;First name
Add a contact;Add a contact
Select a company;Select a company
Select a contact;Select a contact
Mission Date;Mission Date
Select a mission type;Select a mission type
Mission type;Mission type
Add a mission;Add a mission
Contact info;Contact info
View;View
Fonction;Function
Contact;Contact
Contact List;Contact List

Make sure you enter the label of the mission;Make sure you enter the label of the mission
Please enter a date;Please enter a date
Please choose a company;Please choose a company
Please choose a contact;Please choose a contact
Mission successfully registered;Mission successfully registered
Mission not registered please try again;Mission not registered please try again


No Messages availables;No Messages availables
All messages;All messages
Sents;Sents
Folder;Folder
New mail;New mail

Preview;Preview
Previewing;Previewing
Send;Send
Sending;Sending
Viewer;Viewer
Discard;Discard
Price list;Price list
Add;Add
Remove;Remove
Subject;Subject
Email Type;Email Type
Compose New Mail;Compose New Mail
Sent elements;Sent elements
Compose;Compose

Error, please try again;Error, please try again
Saving company, please wait...;Saving company, please wait...

Company registered successfully;Company registered successfully
This company already exists in our database;This company already exists in our database
Please enter the NAF code;Please enter the NAF code
Please enter the city;Please enter the city
Please confirm the field of activity;Please confirm the field of activity
Please enter the postal code;Please enter the postal code
Please enter the name of the company;Please enter the name of the company


Please enter contact first name;Please enter contact first name
Please enter contact last name;Please enter contact last name
Please enter contact phone number;Please enter contact phone number
Please enter contact function;Please enter contact function
Please choose a Company;Please choose a Company
Enter contact email address;Enter contact email address
Please choose conatct status;Please choose conatct status
This contact already exists;This contact already exists
Contact saved successfully;Contact saved successfully
Connection problem, please try again;Connection problem, please try again

Please choose an mail type;Please choose an mail type;
Please choose a contact;Please choose a contact
Please enter email subjet;Please enter email subjet
Mail sent;Mail sent

Choose an email type before viewing email;Choose an email type before viewing email
Attention;Attention


Add Prospector;Add Prospector
Role;Role
Select a Role;Select a Role
Manager;Manager;
Select a Manager;Select a Manager
Email address;Email address
Active;Active

Please enter a first name;Please enter a first name
Please enter a last name;Please enter a last name
Choose a role;Choose a role
Please enter an email address;Please enter an email address
This prosector already exists;This prosector already exists
Prospector added;Prospector added

January;January
July;July


